intro;intro-VPL;methods;methods-VPL;encap;encap-VPL;constructors;constructors-VPL;classes1;classes1-VPL;classes2;classes2-VPL;static;static-VPL;inher;inher-VPL;polymorphism;polymorphism-VPL;intro-VPL;methods-VPL-f;encap-VPL-f;constructors-VPL-f;classes2-VPL-f;static-VPL-f;inher-VPL-f;polymorphism-VPL-f;sum_vpl
110;60;160;630;148;100;110;165;80;0;170;95;80;270;190;270;70;45;60;630;100;165;95;270;270;45;2753
110;60;160;630;150;100;110;165;80;0;170;95;80;270;188;270;70;45;60;630;100;165;95;270;270;45;2753
110;60;160;630;150;100;110;165;80;0;170;92;80;270;190;270;70;45;60;630;100;165;92;270;270;45;2752
110;60;160;630;150;100;110;165;80;0;170;95;77;270;190;270;70;45;60;630;100;165;95;270;270;45;2752
110;60;160;630;150;100;110;157;80;0;170;95;80;270;190;270;70;45;60;630;100;157;95;270;270;45;2747
110;60;160;628;140;100;110;165;80;0;170;95;80;270;190;270;70;45;60;628;100;165;95;270;270;45;2743
110;60;160;630;150;100;110;165;80;0;170;83;80;270;190;270;70;45;60;630;100;165;83;270;270;45;2743
110;60;160;630;150;100;110;150;80;0;170;95;80;270;190;270;70;45;60;630;100;150;95;270;270;45;2740
110;60;160;630;150;100;110;147;80;0;170;95;80;270;190;270;68;45;60;630;100;147;95;270;270;45;2735
110;60;160;623;150;100;110;165;80;0;168;95;80;270;187;258;70;45;60;623;100;165;95;270;258;45;2731
110;60;160;630;150;100;110;165;80;0;165;92;80;270;158;270;70;45;60;630;100;165;92;270;270;45;2715
110;60;160;622;144;100;106;165;73;0;168;86;80;270;180;270;67;43;60;622;100;165;86;270;270;43;2704
110;40;160;608;150;100;110;162;80;0;170;90;80;270;188;270;70;45;40;608;100;162;90;270;270;45;2703
110;60;160;600;150;100;110;162;80;0;170;89;80;270;190;270;70;27;60;600;100;162;89;270;270;27;2698
110;60;160;593;150;100;110;165;71;0;170;95;80;270;185;260;70;45;60;593;100;165;95;270;260;45;2694
110;60;160;621;148;100;101;165;79;0;144;95;80;270;173;270;70;45;60;621;100;165;95;270;270;45;2691
108;60;160;598;150;100;110;165;80;0;170;83;80;270;190;245;70;45;60;598;100;165;83;270;245;45;2684
110;60;160;620;150;100;110;131;80;0;170;89;80;270;190;240;70;45;60;620;100;131;89;270;240;45;2675
110;60;160;603;150;100;110;165;80;0;170;95;80;230;188;250;70;45;60;603;100;165;95;230;250;45;2666
110;60;160;620;148;100;106;148;80;0;170;65;80;270;188;245;70;45;60;620;100;148;65;270;245;45;2665
110;60;160;562;148;100;110;165;73;0;168;65;80;270;182;270;69;45;60;562;100;165;65;270;270;45;2637
103;60;153;587;136;100;106;165;62;0;150;95;74;270;190;270;69;45;60;587;100;165;95;270;270;45;2635
110;60;160;599;150;100;110;165;77;0;158;84;77;250;182;227;70;45;60;599;100;165;84;250;227;45;2624
110;60;160;596;148;85;108;162;80;0;170;95;75;270;190;210;70;27;60;596;85;162;95;270;210;27;2616
110;60;160;520;150;100;110;152;80;0;170;65;80;270;190;270;70;45;60;520;100;152;65;270;270;45;2602
110;60;157;577;150;70;105;165;70;0;152;92;69;270;140;270;70;45;60;577;70;165;92;270;270;45;2572
105;60;158;560;150;100;106;165;75;0;170;95;77;190;190;250;70;45;60;560;100;165;95;190;250;45;2566
110;60;160;547;150;100;110;165;80;0;170;95;80;230;184;205;70;45;60;547;100;165;95;230;205;45;2561
110;60;160;538;148;100;110;139;80;0;170;65;77;230;181;270;70;45;60;538;100;139;65;230;270;45;2553
110;60;160;590;150;100;110;124;76;0;165;65;80;206;169;270;70;45;60;590;100;124;65;206;270;45;2550
110;60;160;497;146;100;110;165;78;0;169;83;77;248;177;243;70;45;60;497;100;165;83;248;243;45;2538
110;60;160;590;150;100;110;129;79;0;163;65;75;270;190;170;68;45;60;590;100;129;65;270;170;45;2534
109;60;158;544;147;87;110;165;75;0;170;95;80;234;190;170;70;45;60;544;87;165;95;234;170;45;2509
110;60;154;574;148;100;106;139;79;0;141;87;77;270;113;250;69;27;60;574;100;139;87;270;250;27;2504
110;60;138;537;107;100;100;162;54;0;149;59;80;270;165;270;60;45;60;537;100;162;59;270;270;45;2466
110;60;160;427;148;100;105;165;78;0;162;63;80;250;190;245;70;45;60;427;100;165;63;250;245;45;2458
110;60;160;465;150;100;110;125;73;0;168;93;80;270;188;170;70;0;60;465;100;125;93;270;170;0;2392
110;60;160;315;150;100;110;165;80;0;158;65;80;194;171;270;70;0;60;315;100;165;65;194;270;0;2258
97;60;125;506;128;100;103;130;67;0;98;69;74;250;165;157;56;45;60;506;100;130;69;250;157;45;2230
110;60;160;290;150;100;110;165;74;0;170;65;80;140;165;270;70;0;60;290;100;165;65;140;270;0;2179
105;60;160;434;150;70;110;125;76;0;150;0;80;230;108;270;32;0;60;434;70;125;0;230;270;0;2160
110;0;160;545;140;100;110;60;74;0;112;95;72;210;87;170;60;45;0;545;100;60;95;210;170;45;2150
110;60;160;576;150;100;106;165;71;0;128;92;80;70;104;70;30;45;60;576;100;165;92;70;70;45;2117
110;60;160;419;150;100;110;165;80;0;170;65;80;70;190;70;70;45;60;419;100;165;65;70;70;45;2114
110;48;160;404;148;100;110;130;74;0;158;95;75;230;96;130;0;45;48;404;100;130;95;230;130;45;2113
110;60;138;505;80;100;60;125;32;0;168;64;73;170;70;270;27;45;60;505;100;125;64;170;270;45;2097
110;60;160;399;150;100;100;125;80;0;168;30;80;130;175;120;70;31;60;399;100;125;30;130;120;31;2088
110;60;160;399;150;100;100;125;80;0;168;30;80;130;175;120;70;31;60;399;100;125;30;130;120;31;2088
110;60;160;399;150;100;100;125;80;0;168;30;80;130;175;120;70;31;60;399;100;125;30;130;120;31;2088
103;60;160;319;143;100;105;107;73;0;142;95;80;138;178;160;70;45;60;319;100;107;95;138;160;45;2078
110;16;158;332;137;64;91;165;64;0;125;95;72;250;161;120;69;45;16;332;64;165;95;250;120;45;2074
110;60;160;342;150;100;110;165;80;0;170;25;80;70;180;105;70;0;60;342;100;165;25;70;105;0;1977
108;60;160;165;148;100;110;165;75;0;160;95;77;170;90;170;69;45;60;165;100;165;95;170;170;45;1967
110;60;155;350;150;100;110;125;75;0;170;70;80;30;174;90;70;45;60;350;100;125;70;30;90;45;1964
105;8;160;317;146;100;110;108;72;0;140;65;68;138;162;120;70;45;8;317;100;108;65;138;120;45;1934
110;60;157;396;90;100;101;153;21;0;52;0;72;270;87;170;36;45;60;396;100;153;0;270;170;45;1920
110;60;160;228;140;100;106;165;71;0;113;95;80;210;163;30;25;45;60;228;100;165;95;210;30;45;1901
88;40;136;260;97;70;81;165;54;0;118;95;65;170;115;270;56;0;40;260;70;165;95;170;270;0;1880
98;60;156;96;148;80;105;165;71;0;146;95;77;170;97;160;69;45;60;96;80;165;95;170;160;45;1838
98;60;156;96;148;80;105;165;71;0;146;95;77;170;97;160;69;45;60;96;80;165;95;170;160;45;1838
107;60;156;230;142;94;86;165;76;0;162;58;80;88;170;40;65;45;60;230;94;165;58;88;40;45;1824
110;60;160;179;150;0;110;130;75;0;166;70;80;70;175;170;70;45;60;179;0;130;70;70;170;45;1820
109;60;145;296;118;100;104;65;64;0;133;68;70;78;113;145;65;0;60;296;100;65;68;78;145;0;1733
110;0;149;600;144;42;104;15;63;0;155;0;77;0;181;0;70;0;0;600;42;15;0;0;0;0;1710
102;60;158;264;150;70;110;60;72;0;64;0;77;70;185;70;70;45;60;264;70;60;0;70;70;45;1627
79;60;152;295;71;70;70;165;0;0;0;0;40;270;20;270;0;45;60;295;70;165;0;270;270;45;1607
108;40;157;250;140;100;91;116;70;0;128;0;80;50;117;135;20;0;40;250;100;116;0;50;135;0;1602
95;60;95;309;85;100;87;165;5;0;57;95;50;230;70;30;10;0;60;309;100;165;95;230;30;0;1543
87;40;130;91;130;70;86;165;47;0;103;95;80;70;104;68;0;40;40;91;70;165;95;70;68;40;1406
108;60;160;155;150;65;106;29;74;0;160;0;80;0;188;0;70;0;60;155;65;29;0;0;0;0;1405
110;60;160;80;148;0;106;0;79;0;168;0;80;0;116;0;70;0;60;80;0;0;0;0;0;0;1177
